County,Sub_County,Total,Male,Female,Intersex,SQ.Km,Pop_density,
Kericho,LONDIANI,137580,68570,69000,10,400,344
Kericho,SOIN SIGOWET,126500,63103,63395,2,466,271
Bomet,BOMET EAST,144275,71095,73172,8,305,473
Bomet,CHEPALUNGU,164837,79921,84912,4,461,358
Bomet,KONOIN,163507,83120,80384,3,393,417
Bomet,SOTIK,227855,112369,115482,4,544,419
Bomet,BOMET CENTRAL,175215,87782,87429,4,286,613
Kakamega,BUTERE,154100,73634,80463,3,210,734
Kakamega,KAKAMEGA CENTRAL,188212,92774,95432,6,155,1212
Kakamega,KAKAMEGA EAST,167641,80853,86784,4,417,402
Kakamega,KAKAMEGA NORTH,238330,115511,122814,5,421,566
Kakamega,KAKAMEGA SOUTH,111743,53219,58524,0,146,764
Kakamega,KHWISERO,113476,53670,59803,3,146,779
Kakamega,LIKUYANI,152055,73710,78341,4,316,481
Kakamega,LUGARI,122728,59135,63593,0,254,483
Kakamega,MATETE,66172,31749,34423,0,103,644
Kakamega,MATUNGU,166940,78793,88143,4,276,606
Kakamega,MUMIAS EAST,116851,55895,60953,3,150,778
Kakamega,MUMIAS WEST,115354,54915,60438,1,163,706
Kakamega,NAVAKHOLO,153977,73275,80695,7,259,594
Vihiga,EMUHAYA,97141,46507,50633,1,89,1091
Vihiga,VIHIGA,95292,45788,49501,3,90,1058
Vihiga,SABATIA,131628,62944,68683,1,111,1181
Vihiga,LUANDA,106694,51525,55165,4,84,1265
Vihiga,HAMISI,159241,76901,82337,3,157,1013
Vihiga,KAKAMEGA FOREST,17,13,4,0,32,1
Bungoma,BUMULA,215892,103368,112523,1,345,625
Bungoma,BUNGOMA  CENTRAL,177748,86302,91438,8,233,764
Bungoma,BUNGOMA EAST,114548,55775,58771,2,163,702
Bungoma,BUNGOMA NORTH,121317,58790,62526,1,192,633
Bungoma,BUNGOMA SOUTH,287765,139705,148055,5,321,896
Bungoma,CHEPTAIS,136035,67717,68312,6,223,610
Bungoma,KIMILILI,162038,78560,83475,3,180,902
Bungoma,MT ELGON,78873,38977,39893,3,126,624
Bungoma,BUNGOMA WEST,119875,58225,61649,1,211,568
Bungoma,TONGAREN,100343,48685,51657,1,185,542
Bungoma,WEBUYE WEST,152515,74180,78331,4,239,638
Bungoma,MT ELGON FOREST,3621,1862,1759,0,606,6
Busia,BUNYALA,85977,41465,44511,1,192,447
Busia,BUSIA,142408,69034,73373,1,196,727
Busia,BUTULA,140334,65136,75195,3,247,568
Busia,NAMBALE,111636,52900,58732,4,238,469
Busia,SAMIA,107176,50821,56341,14,262,408
Busia,TESO NORTH,138034,66412,71619,3,261,529
Busia,TESO SOUTH,168116,80484,87630,2,303,555
Siaya,SIAYA,224343,105906,118433,4,599,375
Siaya,GEM,179792,85696,94092,4,405,444
Siaya,UGENYA,134354,62624,71726,4,324,415
Siaya,UGUNJA,104241,48912,55329,0,201,519
Siaya,BONDO,197883,95962,101917,4,599,330
Siaya,RARIEDA,152570,72569,79999,2,402,379
Kisumu,KISUMU EAST,220997,108304,112689,4,142,1560
Kisumu,KISUMU CENTRAL,174145,84155,89985,5,37,4737
Kisumu,KISUMU WEST,172821,85697,87121,3,209,827
Kisumu,SEME,121667,57658,64007,2,268,454
Kisumu,MUHORONI,154116,76770,77345,1,658,234
Kisumu,NYANDO,161508,77121,84380,7,446,362
Kisumu,NYAKACH,150320,71237,79082,1,327,460
Homa Bay,HOMA BAY,117439,55756,61681,2,182,645
Homa Bay,NDHIWA,218136,103706,114422,8,713,306
Homa Bay,RACHUONYO  NORTH,178686,85409,93273,4,435,410
Homa Bay,RACHUONYO  EAST,121822,57709,64111,2,251,486
Homa Bay,RACHUONYO  SOUTH,130814,61663,69151,0,256,511
Homa Bay,RANGWE,117732,55404,62325,3,274,429
Homa Bay,SUBA NORTH,124938,60530,64406,2,406,307
Homa Bay,SUBA SOUTH,122383,59383,62998,2,634,193
Migori,AWENDO,117290,56348,60939,3,255,459
Migori,KURIA EAST,96872,46969,49894,9,188,516
Migori,KURIA WEST,208513,101090,107417,6,396,527
Migori,NYATIKE,176162,83989,92164,9,677,260
Migori,RONGO,124587,59257,65329,1,213,584
Migori,SUNA EAST,122674,58977,63694,3,205,598
Migori,SUNA WEST,128890,61430,67459,1,288,448
Migori,URIRI,141448,68127,73318,3,392,361
Kisii,ETAGO,83787,40137,43647,3,108,773
Kisii,GUCHA,83740,39631,44108,1,82,1020
Kisii,GUCHA SOUTH,83623,40022,43598,3,95,878
Kisii,KENYENYA,131740,62859,68878,3,142,930
Kisii,KISII CENTRAL,166906,81330,85573,3,136,1229
Kisii,KISII SOUTH,135134,64514,70615,5,128,1054
Kisii,KITUTU CENTRAL,154175,74608,79561,6,100,1537
Kisii,MARANI,107464,50598,56864,2,128,837
Kisii,MASABA SOUTH,122396,58143,64248,5,161,759
Kisii,NYAMACHE,130898,62113,68782,3,163,805
Kisii,SAMETA,66997,31829,35164,4,79,847
Nyamira,BORABU,73167,36736,36431,0,247,296
Nyamira,MANGA,94209,44868,49339,2,111,845
Nyamira,MASABA NORTH,111860,52884,58974,2,142,789
Nyamira,NYAMIRA NORTH,167267,80314,86947,6,216,775
Nyamira,NYAMIRA SOUTH,159073,76105,82965,3,182,876
Nairobi,DAGORETTI,434208,217651,216526,31,29,14908
Nairobi,EMBAKASI,988808,492476,496270,62,86,11460
Nairobi,KAMUKUNJI,268276,136670,131599,7,11,25455
Nairobi,KASARANI,780656,381234,399385,37,86,9063
Nairobi,KIBRA,185777,94199,91569,9,12,15311
Nairobi,LANG'ATA,197489,96698,100774,17,217,911
Nairobi,MAKADARA,189536,96369,93157,10,12,16150
Nairobi,MATHARE,206564,106522,100028,14,3,68940
Nairobi,NJIRU,626482,307642,318809,31,130,4821
Nairobi,STAREHE,210423,109173,101238,12,21,10205
Nairobi,WESTLANDS,308854,153818,155021,1,98,3167
